Name,National Libraries,Academic Libraries,Public Libraries,School Libraries,Other Libraries,National Libraries with Internet Access,Academic Libraries with Internet Access,Public Libraries with Internet Access,School Libraries with Internet Access,Other Libraries with Internet Access,National Full-Time Staff,Academic Full-Time Staff,Public Full-Time Staff,Other Full-Time Staff,National Volunteers,Academic Volunteers,Public Volunteers,National Registered Users,Academic Registered Users,Public Registered Users,Other Registered Users,National Physical Visits,Academic Physical Visits,Public Physical Visits,Other Physical Visits,National Physical Loans (books),Academic Physical Loans (books),Public Physical Loans (books),School Physical Loans (books),Other Physical Loans (books),Public Physical Loans (documents on physical carrier),Academic Electronic loans (eBooks),Public Electronic loans (eBooks),Public Electronic Loans (audio books),Academic Electronic Loans (downloads),Public Electronic Loans (downloads),School Full-Time Staff,School Volunteers,School Registered Users,School Physical Visits,Academic Physical Loans (documents on physical carrier),Other Physical Loans (documents on physical carrier),Other Electronic loans (eBooks),Academic Electronic Loans (audio books),Other Electronic Loans (audio books),Other Electronic Loans (downloads),Community Libraries,Community Libraries with Internet Access,Community Full-Time Staff,Community Volunteers,Other Volunteers,National Electronic Loans (downloads),Community Registered Users,Community Physical Visits,Community Physical Loans (books),Community Physical Loans (documents on physical carrier),Community Electronic loans (eBooks),Community Electronic Loans (audio books),Community Electronic Loans (downloads),National Physical Loans (documents on physical carrier),School Physical Loans (documents on physical carrier),National Electronic Loans (audio books),School Electronic Loans (downloads),National Electronic loans (eBooks),School Electronic loans (eBooks),School Electronic Loans (audio books)
Ecuador,,37,12,1290,4,,37,12,751,4,,,,,,,,,,,,,,,,,,,1386134,,,,,,,,1122,,700000,2788249,,,,,,,27,27,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Guyana,5,,5,,,4,,4,,,,,,,15,,15,46634,,16182,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,37,5,,,343,,,,,,,,,,,,,
Paraguay,2,46,93,,23,1,46,47,,16,33,46,,25,0,,,559,,,5909,1124,,,2125,312,,,,1651,,,,,,,,,,,,1636,0,,0,363,7,3,8,10,23,371,2850,98,1500,20,0,0,3,55,,,,,,
Peru,8,595,882,359,,8,,195,,,,,1178,,,,,,,,,1087047,,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,53,63,,,,,,,,,302,,,,0,,,558,41798,,,59000,64538,,,462259,105121,,,,441,,,450420,,,,,,2150,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),,134,,,,,134,,,,,642,,,,38,,,113235,,,,200861,,,,142278,,,,,8191,,,7901675,,,,,,152,,,0,,,,,,,,,,,,,,,,,,,,,,
Canada,4,732,3415,14451,,4,,,,,924,8157,2012,,120,,1055,395560,1530766,13165641,,2216941,87863982,163937870,,41272,24740930,304136807,194097032,,,,,,,,10784,,5048708,107884030,,,,,,,,,,,,9797313,,,,,,,,,,,,,,
Greenland,1,1,5,70,,1,1,5,,,3,1,27,,0,0,0,967,,,,,,,,2500,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,15,4266,17227,82300,6642,3,4266,16568,77140,,4253,85752,140054,,300,,,,,171800190,,1903884,22404805,1353081000,,,82583000,1970942787,,,,,151911548,66347005,,,51516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2,697,4052,6453,,2,697,,,,421,10000,9202,,,,,95862,1293000,739024,,1130626,24000000,7090824,,2893596,42000000,16300411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1,2914,2994,,,1,2914,2767,,,1529,111023,49958,,,80426,,3793000,55077000,96254000,,5639900,,720884000,,24756100,366362000,593291000,,,,,,,9962477000,355560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region",,24,82,,10,,24,70,,5,,1040,1730,50,,,,,153449,4532565,32551,,13333939,37063015,286662,,2988467,48751516,,8366,1499500,14095640,,,36145433,,,,,,158,676,101,,101,1373,,,,,39,,,,,,,,,,,,,,,
"China, Macao Special Administrative Region",,34,76,103,81,,34,76,103,81,,110,376,130,,,,,35000,,,,,5374474,,,,823639,,,,,,,7814600,,140,,76346,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,3,1498,3331,37979,,3,720,,,,888,10463,39828,,,,95949,432539,3611439,31365280,,756372,,,,,29776701,694939875,,,,,,,205298881,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,1,,,,,1,,,,,81,,,,,,,70550,,,,55149,,,,2632496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100,,,,5250,,
Republic of Korea,5,454,1042,11644,,5,454,1042,11644,,1592,2181,8248,,6328,,433066,1512189,1362599,25319183,,2091005,146785214,272068981,,4448083,8342230,126632457,122402601,,,2717378,,,,,5788,,68523848,68523848,,,,,,,,,,,,293167,,,,,,,,,,,,1110682,,
Brunei Darussalam,,6,80,72,11,,6,9,31,11,,82,148,55,,,,,21380,3690,845,,60295,74425,4077,,96155,71047,152214,3967,,,,,,,53,,30850,579688,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,1,110,,3552,,1,,,,,21,,,,,,,250,,,,13000,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,4,2057,42460,113541,6552,,,,,,,,,,,,,230987,,1402885,,7256431,,6350635,,600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,1,437,1443,10198,950,1,437,233,10193,542,1676,3521,3052,1618,,,,1876084,2475628,5434567,1648589,412106,80505685,16027583,6253820,367589,4153158,9097150,,1359554,,,,,,,10198,,,,,,,,,,96,96,,,,1190374,,2197797,1156428,,,,,,,,,115575,,
Philippines,5,,1455,,,,,,,,190,,,,,,,688297,,,,122133,,2780872,,266894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,1,28,364,,,1,28,26,,,115,510,459,,170,233,4780,,219281,2400000,,1686000,8583655,23665000,,,923139,29200000,,,,2643633,1620000,229000,17094931,,,,,,4430,,,1499755,,,,,,,,,,,,,,,,,,,,,,
Thailand,18,919,1120,45529,521,18,919,1120,,,179,,,,,,,,,,,666485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,1,748,18097,28951,,1,748,,,,176,,,,,,,13070,,454040,,2523677,,18915625,,,,57647404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,1,11,1,717,,,,,717,,7,,2,,0,,2,,,3935,,12700,,15100,,,,,,,,,,,,,,,169560,,,,,,,,9,9,,,,,,,,,,,,,,,,,,
India,7,42238,146173,1261111,319,1,42238,,,319,241,,,,,,,56000,,,,1500,,,,,,,,,,,,,,,315125,,215878522,,,,,,,,16500,,9000,7500,,,1155000,,,,,,,,,,,,,
Iran (Islamic Republic of),12,953,3278,477,8224,,,,,,1300,,,6487,,,,206000,,7264764,,,,,,191355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,2,,,,,1,,,,,34,,,,,,,6264,,,,37926,,,,17188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
Nepal,1,36,7,8851,30,1,23,7,1240,30,23,203,21,84,,11,8,,208908,25400,143157,15000,613795,257240,92216,,394754,4700,3,52661,240,50,10080,600,440,22000,575,,3100000,973500,,1060,1152,,2021,53951,67,31,114,1921,19,,16054,265423,34881,,,,,,,,,,,
Sri Lanka,1,59,1199,6732,167,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,,,,,,,,,,,,,,,,,,,
Armenia,2,91,135,1307,6,2,91,135,684,6,395,376,1060,66,11,668,275,49793,131755,223136,12933,494858,2581266,2473039,65100,1992933,6816083,4081216,1047314,22496,,215181,,,2450193,,983,1283,196399,233439,21903,23,2530,112,0,19896,664,16,633,182,0,786,170810,1305332,2385304,,,,,0,5595,25,7751,12833,170,849
Cyprus,4,44,27,113,32,4,44,13,93,23,14,142,28,42,0,8,,11771,54890,20409,6219,10440,382577,52575,33556,7160,177102,53803,31737,23116,,112079,,,335179,,18,400,48300,32000,369,1089,,4,350,7258,35,3,26,18,4,,7566,14036,10,,,,,,121,,191,,,
Georgia,17,13,66,2000,,17,13,66,,,476,295,860,,20,350,,91041,75000,25089,,10000,5000,12000,,815793815,84017,56034,,,100,11200,,,,,2000,,,,3000,,,4703,,,266,151,270,,,5283,,,,,,,,104,,200,,28926,,
Iraq,1,46,85,1400,50,1,46,20,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,90,36,,11,,90,36,,11,,549,135,13,,48,117,,200858,107422,2840,,7022125,573500,5975,,695648,847131,,2465,8337,,2904,1339,6222153,16564,,,,,9927,75,62,30,5,257773,,,,,7,,,,,,,,,,,,,,,
Oman,,30,20,,,,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,40,,,,,,,,,,,,,,,,,,
Qatar,1,8,10,267,,1,8,,267,,158,101,,,,11,,30000,29385,,,,1443927,,,,280398,,1253000,,,100,,,3809593,,422,,,,3,,,,,,,,,,,1160946,,,,,,,,,,38,,10823,,
State of Palestine,,34,65,,2,,33,65,,2,,120,140,6,,177,,,228381,112098,350,,200780,,1200,,232683,,,19500,,16447,,,91019,,,,,,100,75,3,8662,,,,,,,,,,,,,,,,,,,,,,
Turkey,1,552,1143,27280,,1,552,1143,,,194,6039,3178,,80,,,100918,3810634,1697090,,437100,,23266599,,54422,,9012110,,,,,,,,,,,,,,,,,,,,,,,,13514,,,,,,,,263452,,21092,,,,
Yemen,,12,,,,,12,,,,,22,,,,,,,12460,,,,133400,,,,95272,,,,,14000,,,,,,,,,6860,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,1,78,2674,2578,1186,1,78,1922,1233,1186,10355,1574,7201,,0,,,160588,407725,30243,,4477150,19524435,266927,,660320,22613875,574796,,,127322,,,,3184808,,2382,,887218,9192840,,,,,,,676,5,,,,4830390,,,,,,,,377,,1876,,1065,,
